RIBO-DMSO-1	RIBO-DMSO-2	RIBO-DMSO-3	RIBO-TPG-1	RIBO-TPG-2	RIBO-TPG-3
RASSF10|ENSG00000189431.8|chr11	0	3	8	0	0	0
ARNTL|ENSG00000133794.20|chr11	18	37	18	1	45	23
BTBD10|ENSG00000148925.11|chr11	134	177	80	134	162	130
PTH|ENSG00000152266.7|chr11	0	0	0	0	0	0
FAR1|ENSG00000197601.14|chr11	454	446	309	357	314	260
SPON1|ENSG00000262655.4|chr11	44	74	108	36	70	39
RRAS2|ENSG00000133818.14|chr11	310	262	264	209	192	147
COPB1|ENSG00000129083.13|chr11	889	897	885	1023	962	733
PSMA1|ENSG00000129084.18|chr11	2072	2428	1974	2150	2003	2035
PDE3B|ENSG00000152270.9|chr11	95	129	93	108	80	184
CYP2R1|ENSG00000186104.11|chr11	151	123	92	130	130	31
CALCA|ENSG00000110680.13|chr11	0	0	0	0	0	0
INSC|ENSG00000188487.12|chr11	0	0	1	0	0	0
SOX6|ENSG00000110693.19|chr11	30	17	22	28	0	0
C11orf58|ENSG00000110696.10|chr11	1687	1777	1609	1545	1445	1166
PLEKHA7|ENSG00000166689.18|chr11	22	19	9	9	8	0
RPS13|ENSG00000110700.7|chr11	21	40	34	23	32	15
PIK3C2A|ENSG00000011405.14|chr11	289	278	290	261	376	250
NUCB2|ENSG00000070081.18|chr11	575	468	437	343	322	215
NCR3LG1|ENSG00000188211.9|chr11	306	365	283	386	426	337
KCNJ11|ENSG00000187486.7|chr11	98	78	51	74	39	67
ABCC8|ENSG00000006071.16|chr11	0	2	0	0	0	16
USH1C|ENSG00000006611.17|chr11	0	0	0	0	0	0
OTOG|ENSG00000188162.12|chr11	0	0	0	0	0	0
MYOD1|ENSG00000129152.4|chr11	0	0	2	12	0	0
KCNC1|ENSG00000129159.9|chr11	3	0	0	0	0	0
SERGEF|ENSG00000129158.11|chr11	143	181	87	131	103	103
TPH1|ENSG00000129167.10|chr11	0	0	1	0	0	0
SAAL1|ENSG00000166788.10|chr11	629	794	528	752	713	639
MRGPRX3|ENSG00000179826.8|chr11	0	0	0	0	0	0
MRGPRX4|ENSG00000179817.5|chr11	0	0	0	0	0	0
SAA4|ENSG00000148965.10|chr11	0	0	0	0	0	0
SAA2-SAA4|ENSG00000255071.3|chr11	0	0	0	0	0	0
SAA2|ENSG00000134339.9|chr11	0	0	0	0	0	0
SAA1|ENSG00000173432.13|chr11	0	0	0	0	0	0
HPS5|ENSG00000110756.18|chr11	0	0	0	0	0	0
GTF2H1|ENSG00000110768.12|chr11	0	0	0	0	0	0
LDHA|ENSG00000134333.14|chr11	49	11	11	25	0	20
LDHC|ENSG00000166796.12|chr11	85	138	108	57	113	27
LDHAL6A|ENSG00000166800.11|chr11	0	0	0	0	0	0
TSG101|ENSG00000074319.13|chr11	240	361	234	325	262	204
UEVLD|ENSG00000151116.17|chr11	83	106	72	89	43	23
SPTY2D1|ENSG00000179119.15|chr11	104	131	122	191	169	135
TMEM86A|ENSG00000151117.9|chr11	12	21	31	30	82	49
IGSF22|ENSG00000179057.14|chr11	0	0	0	0	0	0
PTPN5|ENSG00000110786.18|chr11	0	0	0	4	0	0
MRGPRX1|ENSG00000170255.8|chr11	0	0	0	0	0	0
MRGPRX2|ENSG00000183695.3|chr11	0	0	0	0	0	0
ZDHHC13|ENSG00000177054.14|chr11	55	42	63	44	75	19
CSRP3|ENSG00000129170.10|chr11	0	0	0	0	0	0
E2F8|ENSG00000129173.13|chr11	42	56	57	85	147	92
NAV2|ENSG00000166833.23|chr11	35	59	38	57	56	49
DBX1|ENSG00000109851.7|chr11	0	0	0	0	0	0
HTATIP2|ENSG00000109854.14|chr11	636	839	555	392	369	356
PRMT3|ENSG00000185238.13|chr11	232	214	125	186	162	142
SLC6A5|ENSG00000165970.12|chr11	0	0	0	0	0	0
NELL1|ENSG00000165973.19|chr11	0	0	8	0	0	0
ANO5|ENSG00000171714.13|chr11	51	92	55	50	40	48
SLC17A6|ENSG00000091664.9|chr11	0	0	0	0	0	0
FANCF|ENSG00000183161.6|chr11	160	246	142	322	195	185
GAS2|ENSG00000148935.12|chr11	0	0	0	0	0	0
SVIP|ENSG00000198168.9|chr11	876	791	571	282	316	298
CCDC179|ENSG00000255359.3|chr11	0	0	0	0	0	0
LUZP2|ENSG00000187398.12|chr11	0	0	0	0	0	0
ANO3|ENSG00000134343.14|chr11	0	0	0	0	0	0
MUC15|ENSG00000169550.14|chr11	0	5	0	0	0	0
SLC5A12|ENSG00000148942.15|chr11	0	0	0	0	0	0
FIBIN|ENSG00000176971.4|chr11	0	12	5	2	0	7
BBOX1|ENSG00000129151.9|chr11	0	0	0	0	0	0
CCDC34|ENSG00000109881.17|chr11	459	803	613	736	447	316
LGR4|ENSG00000205213.14|chr11	169	141	112	147	183	33
LIN7C|ENSG00000148943.12|chr11	266	384	276	273	354	249
BDNF|ENSG00000176697.20|chr11	12	15	0	0	0	0
KIF18A|ENSG00000121621.7|chr11	52	37	31	85	51	21
METTL15|ENSG00000169519.21|chr11	184	255	127	164	171	188
KCNA4|ENSG00000182255.7|chr11	0	0	0	0	0	0
FSHB|ENSG00000131808.11|chr11	0	0	0	0	0	0
ARL14EP|ENSG00000152219.5|chr11	304	418	267	462	477	497
MPPED2|ENSG00000066382.17|chr11	38	11	10	38	47	32
DNAJC24|ENSG00000170946.15|chr11	65	157	86	81	102	31
IMMP1L|ENSG00000148950.11|chr11	465	515	340	506	327	491
ELP4|ENSG00000109911.19|chr11	146	228	165	165	178	174
PAX6|ENSG00000007372.25|chr11	187	159	88	201	217	206
ENSG00000285283|ENSG00000285283.1|chr11	16	7	8	8	16	26
RCN1|ENSG00000049449.10|chr11	547	821	553	558	529	245
WT1|ENSG00000184937.16|chr11	22	70	105	94	79	23
EIF3M|ENSG00000149100.13|chr11	4861	5815	3965	5805	5183	4646
CCDC73|ENSG00000186714.13|chr11	0	0	0	0	0	0
PRRG4|ENSG00000135378.4|chr11	222	283	211	192	124	155
QSER1|ENSG00000060749.16|chr11	139	204	73	120	149	20
DEPDC7|ENSG00000121690.11|chr11	38	56	21	80	49	29
TCP11L1|ENSG00000176148.16|chr11	44	30	22	59	25	42
CSTF3|ENSG00000176102.13|chr11	122	287	228	230	226	116
HIPK3|ENSG00000110422.12|chr11	113	116	116	85	71	1
KIAA1549L|ENSG00000110427.17|chr11	17	18	0	33	14	0
C11orf91|ENSG00000205177.7|chr11	0	3	1	14	0	0
ENSG00000284969|ENSG00000284969.1|chr11	0	3	1	14	0	0
CD59|ENSG00000085063.17|chr11	1102	1388	1081	599	550	375
FBXO3|ENSG00000110429.14|chr11	76	141	146	116	170	21
LMO2|ENSG00000135363.12|chr11	32	15	30	0	34	7
CAPRIN1|ENSG00000135387.21|chr11	723	1069	758	841	771	884
NAT10|ENSG00000135372.10|chr11	303	433	237	384	308	183
ABTB2|ENSG00000166016.6|chr11	98	94	54	141	51	59
CAT|ENSG00000121691.7|chr11	365	516	456	321	423	481
ELF5|ENSG00000135374.11|chr11	0	0	0	0	0	0
EHF|ENSG00000135373.13|chr11	0	0	0	0	0	0
APIP|ENSG00000149089.13|chr11	197	285	251	161	140	92
PDHX|ENSG00000110435.13|chr11	138	168	131	133	153	68
CD44|ENSG00000026508.21|chr11	20	41	16	3	9	15
SLC1A2|ENSG00000110436.13|chr11	0	0	0	0	0	0
PAMR1|ENSG00000149090.13|chr11	7	5	0	0	0	0
FJX1|ENSG00000179431.7|chr11	662	595	476	272	324	114
TRIM44|ENSG00000166326.7|chr11	697	887	649	653	779	454
LDLRAD3|ENSG00000179241.13|chr11	245	345	154	225	226	163
COMMD9|ENSG00000110442.12|chr11	417	601	440	395	429	431
PRR5L|ENSG00000135362.14|chr11	7	0	9	0	0	0
TRAF6|ENSG00000175104.15|chr11	61	139	61	177	108	26
RAG1|ENSG00000166349.11|chr11	0	3	0	0	0	0
RAG2|ENSG00000175097.9|chr11	0	6	0	0	0	0
IFTAP|ENSG00000166352.18|chr11	498	746	568	543	418	243
LRRC4C|ENSG00000148948.8|chr11	0	0	0	0	0	0
API5|ENSG00000166181.13|chr11	200	363	296	322	369	225
TTC17|ENSG00000052841.15|chr11	289	277	138	250	359	258
HSD17B12|ENSG00000149084.13|chr11	1124	1382	1012	1006	710	713
ALKBH3|ENSG00000166199.13|chr11	412	511	352	480	259	198
C11orf96|ENSG00000187479.9|chr11	194	161	196	264	144	178
ACCSL|ENSG00000205126.2|chr11	0	0	0	0	0	0
ACCS|ENSG00000110455.14|chr11	0	12	22	8	23	0
EXT2|ENSG00000151348.16|chr11	399	472	355	428	428	257
ALX4|ENSG00000052850.8|chr11	41	37	47	36	75	57
CD82|ENSG00000085117.12|chr11	17	58	60	28	22	0
TSPAN18|ENSG00000157570.12|chr11	25	32	64	26	41	31
TP53I11|ENSG00000175274.19|chr11	266	349	227	194	249	260
PRDM11|ENSG00000019485.14|chr11	5	29	7	3	5	4
SYT13|ENSG00000019505.8|chr11	0	0	0	0	0	0
CHST1|ENSG00000175264.8|chr11	0	0	38	0	0	8
SLC35C1|ENSG00000181830.9|chr11	96	115	41	126	97	79
MAPK8IP1|ENSG00000121653.11|chr11	28	28	4	33	55	14
C11orf94|ENSG00000234776.5|chr11	0	0	0	0	8	0
PEX16|ENSG00000121680.16|chr11	99	73	87	59	190	62
LARGE2|ENSG00000165905.18|chr11	82	58	51	29	34	2
PHF21A|ENSG00000135365.17|chr11	68	54	63	69	39	55
CREB3L1|ENSG00000157613.11|chr11	0	7	0	0	0	0
DGKZ|ENSG00000149091.15|chr11	157	191	193	91	57	53
MDK|ENSG00000110492.17|chr11	1681	2191	1606	1642	1305	1401
CHRM4|ENSG00000180720.8|chr11	0	0	0	15	0	0
AMBRA1|ENSG00000110497.15|chr11	15	44	14	31	33	32
HARBI1|ENSG00000180423.4|chr11	32	57	12	20	68	25
ATG13|ENSG00000175224.17|chr11	519	747	509	572	372	267
ARHGAP1|ENSG00000175220.12|chr11	303	357	253	395	254	262
ZNF408|ENSG00000175213.3|chr11	70	62	82	171	215	134
F2|ENSG00000180210.15|chr11	0	0	0	0	0	0
CKAP5|ENSG00000175216.15|chr11	449	670	446	411	462	331
LRP4|ENSG00000134569.10|chr11	76	27	45	85	19	45
CSTPP1|ENSG00000149179.14|chr11	191	158	180	166	140	276
ARFGAP2|ENSG00000149182.15|chr11	344	395	327	569	436	352
PACSIN3|ENSG00000165912.16|chr11	280	252	217	365	220	160
DDB2|ENSG00000134574.12|chr11	333	366	338	347	229	122
ACP2|ENSG00000134575.13|chr11	274	299	342	481	309	242
NR1H3|ENSG00000025434.19|chr11	96	35	72	96	73	63
MADD|ENSG00000110514.19|chr11	70	55	41	59	119	44
SPI1|ENSG00000066336.12|chr11	0	0	6	0	0	0
SLC39A13|ENSG00000165915.14|chr11	190	231	209	199	151	117
PSMC3|ENSG00000165916.9|chr11	1333	1616	1337	1604	1856	1433
RAPSN|ENSG00000165917.10|chr11	0	0	0	0	0	0
CELF1|ENSG00000149187.19|chr11	2366	2771	2320	3010	2500	1910
NDUFS3|ENSG00000213619.11|chr11	0	0	0	0	0	0
PTPMT1|ENSG00000110536.14|chr11	1235	1739	1146	992	634	899
KBTBD4|ENSG00000123444.14|chr11	0	0	0	0	0	0
FAM180B|ENSG00000196666.6|chr11	0	0	0	0	0	0
C1QTNF4|ENSG00000172247.4|chr11	0	0	0	0	0	0
MTCH2|ENSG00000109919.10|chr11	0	0	0	0	0	0
AGBL2|ENSG00000165923.17|chr11	0	0	0	0	0	0
FNBP4|ENSG00000109920.13|chr11	0	0	0	0	0	0
NUP160|ENSG00000030066.14|chr11	0	0	0	0	0	0
PTPRJ|ENSG00000149177.15|chr11	23	2	1	7	0	0
OR4C3|ENSG00000176547.11|chr11	0	0	0	0	0	0
TRIM49B|ENSG00000182053.13|chr11	0	0	0	0	0	0
FOLH1|ENSG00000086205.18|chr11	0	0	0	0	0	0
OR4C13|ENSG00000258817.1|chr11	0	0	0	0	0	0
OR4C12|ENSG00000221954.2|chr11	0	0	0	0	0	0
OR4A5|ENSG00000221840.4|chr11	0	0	0	0	0	0
OR4C11|ENSG00000172188.6|chr11	0	0	0	0	0	0
OR4P4|ENSG00000181927.4|chr11	0	0	0	0	0	0
OR4S2|ENSG00000174982.4|chr11	0	0	0	0	0	0
OR5D3P|ENSG00000186886.8|chr11	0	0	0	0	0	0
OR5L1|ENSG00000279395.3|chr11	0	0	0	0	0	0
TRIM51|ENSG00000124900.12|chr11	0	0	0	0	0	0
OR10AG1|ENSG00000174970.5|chr11	0	0	0	0	0	0
OR5AS1|ENSG00000181785.3|chr11	0	0	0	0	0	0
OR8H2|ENSG00000181767.3|chr11	0	0	0	0	0	0
OR8J3|ENSG00000167822.3|chr11	0	0	0	0	0	0
OR8J2|ENSG00000254658.3|chr11	0	0	0	0	0	0
OR5T2|ENSG00000181718.7|chr11	0	0	0	0	0	0
OR5T1|ENSG00000181698.5|chr11	0	0	0	0	0	0
OR8H1|ENSG00000181693.9|chr11	0	0	0	0	0	0
OR8K3|ENSG00000280314.4|chr11	0	0	0	0	0	0
OR8J1|ENSG00000172487.4|chr11	0	0	0	0	0	0
ENSG00000284732|ENSG00000284732.1|chr11	0	0	0	0	0	0
OR5M3|ENSG00000174937.5|chr11	0	0	0	0	0	0
OR5M1|ENSG00000255012.3|chr11	0	0	0	0	0	0
OR9G1|ENSG00000174914.3|chr11	0	0	0	0	0	0
OR9G4|ENSG00000172457.7|chr11	0	0	0	0	0	0
LRRC55|ENSG00000183908.7|chr11	0	0	0	0	0	0
APLNR|ENSG00000134817.12|chr11	0	0	0	0	0	0
SSRP1|ENSG00000149136.9|chr11	5567	6948	5901	6300	5750	5043
P2RX3|ENSG00000109991.10|chr11	0	0	0	0	0	0
PRG3|ENSG00000156575.2|chr11	0	0	0	0	0	0
PRG2|ENSG00000186652.10|chr11	0	0	0	0	0	0
SLC43A3|ENSG00000134802.18|chr11	0	0	0	0	0	0
RTN4RL2|ENSG00000186907.8|chr11	41	72	138	61	99	18
SLC43A1|ENSG00000149150.9|chr11	70	67	83	122	84	1
TIMM10|ENSG00000134809.9|chr11	1011	1269	845	1124	869	571
SMTNL1|ENSG00000214872.9|chr11	0	0	0	0	0	0
UBE2L6|ENSG00000156587.16|chr11	6	32	31	3	31	0
SERPING1|ENSG00000149131.17|chr11	10	0	3	36	0	14
YPEL4|ENSG00000166793.13|chr11	0	0	3	0	0	1
CLP1|ENSG00000172409.7|chr11	178	181	129	111	116	130
ZDHHC5|ENSG00000156599.11|chr11	256	362	298	200	271	321
MED19|ENSG00000156603.20|chr11	254	363	319	520	493	420
TMX2|ENSG00000213593.10|chr11	1332	1886	1458	1311	1252	783
BTBD18|ENSG00000233436.8|chr11	0	0	0	0	0	0
CTNND1|ENSG00000198561.16|chr11	346	433	370	278	194	279
OR9Q1|ENSG00000186509.4|chr11	0	0	0	0	0	0
OR9I1|ENSG00000172377.3|chr11	0	0	0	0	0	0
OR9Q2|ENSG00000186513.4|chr11	0	0	0	0	0	0
OR1S1|ENSG00000280204.4|chr11	0	0	0	0	0	0
OR10Q1|ENSG00000180475.4|chr11	0	0	0	0	0	0
OR10W1|ENSG00000172772.3|chr11	0	0	0	0	0	0
OR5B17|ENSG00000197786.3|chr11	0	0	0	0	0	0
OR5B3|ENSG00000172769.4|chr11	0	0	0	0	0	0
OR5B2|ENSG00000172365.4|chr11	0	0	0	0	0	0
OR5B12|ENSG00000172362.4|chr11	0	0	0	0	0	0
OR5B21|ENSG00000198283.3|chr11	0	0	0	0	0	0
LPXN|ENSG00000110031.13|chr11	24	5	11	29	0	90
ZFP91|ENSG00000186660.15|chr11	785	949	640	690	704	653
CNTF|ENSG00000242689.3|chr11	3	10	0	7	1	0
GLYAT|ENSG00000149124.11|chr11	0	0	0	0	0	0
GLYATL2|ENSG00000156689.7|chr11	3	14	1	7	23	56
GLYATL1|ENSG00000166840.14|chr11	0	10	0	2	0	0
FAM111B|ENSG00000189057.11|chr11	647	600	561	367	534	432
FAM111A|ENSG00000166801.17|chr11	33	29	44	15	15	48
DTX4|ENSG00000110042.8|chr11	29	21	68	42	0	14
MPEG1|ENSG00000197629.6|chr11	0	0	0	0	0	0
OR5AN1|ENSG00000176495.3|chr11	0	0	0	0	0	0
OR5A2|ENSG00000172324.6|chr11	0	0	0	0	0	0
OR5A1|ENSG00000172320.4|chr11	0	0	0	0	0	0
OR4D10|ENSG00000254466.2|chr11	0	0	0	0	0	0
OR4D9|ENSG00000172742.6|chr11	0	0	0	0	0	0
OSBP|ENSG00000110048.12|chr11	335	329	194	429	240	281
PATL1|ENSG00000166889.14|chr11	290	504	386	298	339	188
MRPL16|ENSG00000166902.5|chr11	1634	1578	1411	1536	1190	1198
CBLIF|ENSG00000134812.8|chr11	0	0	0	0	0	0
TCN1|ENSG00000134827.8|chr11	0	0	0	0	0	0
OOSP3|ENSG00000285231.2|chr11	0	4	0	0	0	0
OOSP1|ENSG00000284873.1|chr11	0	0	0	0	0	0
OOSP4A|ENSG00000285010.2|chr11	0	0	0	0	0	0
OOSP4B|ENSG00000255393.2|chr11	0	0	0	0	0	0
OOSP2|ENSG00000149507.7|chr11	0	0	0	0	0	0
MS4A3|ENSG00000149516.14|chr11	0	0	0	0	0	0
MS4A2|ENSG00000149534.9|chr11	0	0	0	0	0	0
MS4A6A|ENSG00000110077.15|chr11	0	0	0	0	0	0
MS4A4A|ENSG00000110079.19|chr11	0	0	0	0	0	0
MS4A4E|ENSG00000214787.11|chr11	0	0	0	0	0	0
MS4A7|ENSG00000166927.13|chr11	0	0	0	0	0	0
MS4A14|ENSG00000166928.11|chr11	0	0	0	0	0	0
MS4A5|ENSG00000166930.7|chr11	0	0	0	0	0	0
MS4A1|ENSG00000156738.18|chr11	0	0	0	0	0	0
MS4A12|ENSG00000071203.9|chr11	0	0	0	0	0	0
MS4A13|ENSG00000204979.8|chr11	0	0	0	0	0	0
MS4A8|ENSG00000166959.8|chr11	0	1	0	0	0	0
MS4A18|ENSG00000214782.7|chr11	0	0	0	0	0	0
MS4A15|ENSG00000166961.15|chr11	0	0	0	0	0	0
MS4A10|ENSG00000172689.2|chr11	0	0	0	0	0	0
CCDC86|ENSG00000110104.13|chr11	1875	1939	1715	2480	1876	1875
PTGDR2|ENSG00000183134.5|chr11	0	0	0	2	0	0
ZP1|ENSG00000149506.12|chr11	0	0	0	0	0	0
PRPF19|ENSG00000110107.9|chr11	467	651	499	568	493	315
TMEM109|ENSG00000110108.10|chr11	1750	1953	1609	1775	1378	763
TMEM132A|ENSG00000006118.15|chr11	129	174	102	97	67	57
SLC15A3|ENSG00000110446.12|chr11	0	3	0	0	0	0
CD6|ENSG00000013725.14|chr11	0	11	0	0	0	0
VPS37C|ENSG00000167987.11|chr11	157	216	195	307	177	211
PGA3|ENSG00000229859.10|chr11	0	0	0	0	0	0
PGA4|ENSG00000229183.10|chr11	0	0	0	0	0	0
PGA5|ENSG00000256713.8|chr11	0	0	0	0	0	0
VWCE|ENSG00000167992.14|chr11	0	2	0	0	0	5
DDB1|ENSG00000167986.15|chr11	1835	2134	1946	2449	2367	1721
TKFC|ENSG00000149476.16|chr11	220	246	253	240	235	88
CYB561A3|ENSG00000162144.10|chr11	308	401	338	202	220	187
TMEM138|ENSG00000149483.13|chr11	317	433	295	507	464	301
TMEM216|ENSG00000187049.11|chr11	213	227	124	272	180	199
SDHAF2|ENSG00000167985.7|chr11	112	251	148	113	185	91
LRRC10B|ENSG00000204950.4|chr11	5	5	3	0	0	21
SYT7|ENSG00000011347.10|chr11	23	18	25	15	33	17
DAGLA|ENSG00000134780.10|chr11	50	13	5	29	0	0
MYRF|ENSG00000124920.14|chr11	14	12	2	0	0	0
FEN1|ENSG00000168496.4|chr11	1952	2383	2044	1893	2076	1580
FADS2|ENSG00000134824.14|chr11	523	711	541	523	375	380
FADS1|ENSG00000149485.19|chr11	1192	1506	1110	1087	1162	1157
FADS3|ENSG00000221968.9|chr11	43	83	111	62	76	76
RAB3IL1|ENSG00000167994.13|chr11	16	51	45	30	20	27
BEST1|ENSG00000167995.17|chr11	0	4	0	0	0	0
FTH1|ENSG00000167996.16|chr11	1515	1833	1254	2740	2704	1901
INCENP|ENSG00000149503.13|chr11	69	80	43	123	193	69
SCGB1D1|ENSG00000168515.3|chr11	0	0	0	0	0	0
SCGB2A1|ENSG00000124939.6|chr11	0	0	0	0	0	0
SCGB1D2|ENSG00000124935.4|chr11	2	20	23	0	0	0
SCGB2A2|ENSG00000110484.7|chr11	0	0	0	0	0	0
SCGB1D4|ENSG00000197745.3|chr11	0	0	0	0	0	0
ASRGL1|ENSG00000162174.12|chr11	750	1074	884	927	680	463
SCGB1A1|ENSG00000149021.7|chr11	0	0	0	0	0	0
AHNAK|ENSG00000124942.14|chr11	0	51	24	22	41	1
EEF1G|ENSG00000254772.10|chr11	7294	9194	7008	11262	10173	7982
TUT1|ENSG00000149016.16|chr11	105	221	149	220	149	69
MTA2|ENSG00000149480.7|chr11	969	1386	967	1483	1530	861
EML3|ENSG00000149499.12|chr11	85	126	51	47	64	1
ROM1|ENSG00000149489.9|chr11	5	26	8	0	0	4
B3GAT3|ENSG00000149541.10|chr11	147	211	75	127	93	77
GANAB|ENSG00000089597.18|chr11	1142	1413	1314	1052	903	829
INTS5|ENSG00000185085.2|chr11	177	249	175	186	130	196
ENSG00000255432|ENSG00000255432.1|chr11	0	0	0	0	0	0
C11orf98|ENSG00000278615.5|chr11	843	990	747	791	650	504
LBHD1|ENSG00000162194.13|chr11	860	1012	747	800	666	505
CSKMT|ENSG00000214756.8|chr11	0	5	21	18	23	20
UQCC3|ENSG00000204922.5|chr11	1134	1206	933	889	877	819
UBXN1|ENSG00000162191.14|chr11	894	1267	856	1203	1041	716
LRRN4CL|ENSG00000177363.5|chr11	0	1	0	0	0	0
BSCL2|ENSG00000168000.16|chr11	481	626	439	375	310	301
GNG3|ENSG00000162188.6|chr11	0	0	4	0	0	0
HNRNPUL2|ENSG00000214753.4|chr11	347	399	363	393	215	223
TTC9C|ENSG00000162222.14|chr11	174	291	209	252	212	83
ZBTB3|ENSG00000185670.9|chr11	24	4	7	12	19	0
POLR2G|ENSG00000168002.12|chr11	2547	3269	2474	3167	3191	2143
TAF6L|ENSG00000162227.8|chr11	18	83	75	49	112	34
TMEM223|ENSG00000168569.8|chr11	1376	1515	1149	1298	1392	971
TMEM179B|ENSG00000185475.11|chr11	869	1268	928	603	611	330
NXF1|ENSG00000162231.14|chr11	427	503	395	534	631	478
STX5|ENSG00000162236.13|chr11	237	347	256	455	354	375
TEX54|ENSG00000283268.1|chr11	0	0	0	0	0	0
WDR74|ENSG00000133316.16|chr11	146	191	207	304	259	176
SLC3A2|ENSG00000168003.19|chr11	1735	2227	1671	4612	3957	2784
CHRM1|ENSG00000168539.4|chr11	0	0	0	0	0	0
SLC22A6|ENSG00000197901.12|chr11	0	0	0	0	0	0
SLC22A8|ENSG00000149452.16|chr11	0	0	0	0	0	0
SLC22A25|ENSG00000196600.13|chr11	0	0	0	0	0	0
SLC22A10|ENSG00000184999.13|chr11	0	0	0	0	0	0
SLC22A9|ENSG00000149742.10|chr11	0	0	0	0	0	0
PLAAT5|ENSG00000168004.10|chr11	0	0	0	0	0	0
LGALS12|ENSG00000133317.16|chr11	0	0	0	0	0	0
PLAAT4|ENSG00000133321.11|chr11	0	3	0	0	0	0
PLAAT2|ENSG00000133328.4|chr11	7	0	0	0	0	0
PLAAT3|ENSG00000176485.13|chr11	603	948	637	851	646	495
ATL3|ENSG00000184743.13|chr11	75	28	14	74	6	56
RTN3|ENSG00000133318.14|chr11	1795	2686	2070	1489	1540	1125
ZFTA|ENSG00000188070.9|chr11	36	116	57	75	26	41
SPINDOC|ENSG00000168005.9|chr11	224	355	276	211	162	124
MARK2|ENSG00000072518.22|chr11	209	335	176	156	200	225
RCOR2|ENSG00000167771.6|chr11	8	24	6	1	57	1
NAA40|ENSG00000110583.13|chr11	215	215	136	120	150	159
COX8A|ENSG00000176340.4|chr11	11263	13179	9555	10089	9103	7076
ENSG00000256100|ENSG00000256100.1|chr11	0	0	0	0	0	0
OTUB1|ENSG00000167770.13|chr11	1695	2359	1776	1946	1826	1219
FLRT1|ENSG00000126500.4|chr11	0	7	2	0	0	0
STIP1|ENSG00000168439.17|chr11	909	1459	1341	2120	1873	1319
FERMT3|ENSG00000149781.14|chr11	0	0	0	0	0	0
TRPT1|ENSG00000149743.14|chr11	229	218	185	168	164	215
NUDT22|ENSG00000149761.9|chr11	510	575	503	483	423	418
DNAJC4|ENSG00000110011.14|chr11	56	68	14	2	52	19
FKBP2|ENSG00000173486.14|chr11	937	1319	929	1259	953	1081
PPP1R14B|ENSG00000173457.11|chr11	1478	1719	1324	1256	728	810
PLCB3|ENSG00000149782.13|chr11	114	144	125	149	151	46
BAD|ENSG00000002330.14|chr11	541	703	444	411	409	352
GPR137|ENSG00000173264.15|chr11	269	230	206	153	165	88
KCNK4|ENSG00000182450.14|chr11	0	0	0	0	0	0
CATSPERZ|ENSG00000219435.6|chr11	0	0	0	0	0	0
ESRRA|ENSG00000173153.17|chr11	327	365	345	365	452	225
TRMT112|ENSG00000173113.7|chr11	9283	13357	10416	9520	8954	5786
PRDX5|ENSG00000126432.14|chr11	1091	1601	1193	1321	1258	1019
CCDC88B|ENSG00000168071.22|chr11	1	0	0	14	20	0
RPS6KA4|ENSG00000162302.13|chr11	110	209	130	114	60	75
SLC22A11|ENSG00000168065.16|chr11	0	0	0	1	0	0
SLC22A12|ENSG00000197891.12|chr11	0	0	0	0	0	0
NRXN2|ENSG00000110076.20|chr11	5	4	11	0	21	0
PYGM|ENSG00000068976.14|chr11	0	0	0	0	0	0
SF1|ENSG00000168066.21|chr11	3233	4173	3101	3382	3002	2377
MAP4K2|ENSG00000168067.12|chr11	5	22	16	11	1	8
MEN1|ENSG00000133895.18|chr11	812	969	688	704	518	469
CDC42BPG|ENSG00000171219.9|chr11	0	2	13	0	2	0
EHD1|ENSG00000110047.18|chr11	265	394	285	277	338	122
ATG2A|ENSG00000110046.13|chr11	81	136	170	134	75	45
PPP2R5B|ENSG00000068971.14|chr11	0	9	1	19	19	10
GPHA2|ENSG00000149735.7|chr11	6	53	29	22	0	33
BATF2|ENSG00000168062.10|chr11	15	0	0	0	0	0
ARL2|ENSG00000213465.8|chr11	1780	2039	1754	1835	1645	1418
SNX15|ENSG00000110025.13|chr11	353	629	398	332	258	288
SAC3D1|ENSG00000168061.17|chr11	1132	1315	1183	1476	1397	1279
NAALADL1|ENSG00000168060.16|chr11	0	0	0	0	0	0
CDCA5|ENSG00000146670.10|chr11	539	567	520	825	481	586
ZFPL1|ENSG00000162300.13|chr11	247	246	243	313	280	163
TMEM262|ENSG00000187066.9|chr11	0	0	0	0	0	0
VPS51|ENSG00000149823.9|chr11	916	903	700	787	664	403
TM7SF2|ENSG00000149809.17|chr11	528	659	407	487	383	356
ZNHIT2|ENSG00000174276.7|chr11	92	167	120	205	266	183
FAU|ENSG00000149806.11|chr11	19085	25869	18771	20962	19881	15240
SYVN1|ENSG00000162298.19|chr11	199	180	136	415	158	237
MRPL49|ENSG00000149792.9|chr11	1072	1220	769	1221	1193	924
SPDYC|ENSG00000204710.3|chr11	0	0	0	0	0	0
CAPN1|ENSG00000014216.16|chr11	211	291	191	241	213	142
POLA2|ENSG00000014138.9|chr11	508	557	280	752	509	420
CDC42EP2|ENSG00000149798.5|chr11	62	26	8	16	65	94
DPF2|ENSG00000133884.10|chr11	287	370	226	391	335	390
TIGD3|ENSG00000173825.7|chr11	3	43	32	18	36	11
SLC25A45|ENSG00000162241.13|chr11	13	6	11	7	16	6
FRMD8|ENSG00000126391.14|chr11	156	168	107	121	102	68
